player,total_shots,on_target,shot_accuracy_%,total,num_matches,avg_per_match,passes_under_pressure,kept_under_pressure,percent_kept,overall_score
Jovane Eduardo Borges Cabral,0.2651535150902934,-0.061565502757312596,-0.12955383634254822,0.5809441984620318,0.574640350800125,0.8446506992304219,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.12470928039109092
Lassine Sinayoko,-0.7159144907437921,-0.712400817620332,-0.8118431703032463,1.5257765212354462,2.1209452947713703,0.5081727075042632,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.10698334932005737
Yoane Wissa,-0.7159144907437921,-0.712400817620332,-0.8118431703032463,1.5257765212354462,2.1209452947713703,0.5081727075042632,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.10698334932005737
Bryan Silva Teixera,-0.22538048782674935,0.5892698121057068,1.917314165539546,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.1042902287929483
Antoine Semenyo,-0.22538048782674935,0.5892698121057068,1.917314165539546,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.1042902287929483
Haythem Jouini,0.019886513631772018,-0.712400817620332,-0.8118431703032463,1.053360359848739,0.574640350800125,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.07659600200851156
Tarik Tissoudali,0.019886513631772018,-0.061565502757312596,0.09778496973315634,0.10852803707532467,-0.19851212118549777,1.5176066826827392,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.05909363091299876
Fiston Kalala Mayele,0.019886513631772018,0.5892698121057068,1.0076860255031435,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.03047232450651706
Youssef En-Nesyri,1.0009545194658573,0.5892698121057068,-0.03212291945296052,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.023945553492959435
Souleymane Anne,-0.22538048782674935,-0.061565502757312596,0.5527354976181499,0.10852803707532467,0.574640350800125,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.018751856636049898
Nicolas Jackson,-0.4706474892852707,-0.061565502757312596,1.917314165539546,-0.3638881243113825,-0.19851212118549777,0.17169471577810463,-0.25438850900446247,-0.25129847366399105,-0.4461989182947397,0.004723304757221553
